Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1,01-01-2017,7437926611570799,1,spicy miso ramen
2,01-01-2017,7437926611570799,1,spicy miso ramen
3,01-01-2017,8421920068932819,3,tori paitan ramen
4,01-01-2017,8421920068932819,3,tori paitan ramen
5,01-01-2017,4787310681569648,1,truffle butter ramen
6,01-01-2017,4787310681569648,1,truffle butter ramen
7,01-01-2017,8252818705821725,1,tonkotsu ramen
8,01-01-2017,8252818705821725,1,tonkotsu ramen
9,01-01-2017,3119034881407323,1,vegetarian spicy miso
10,01-01-2017,3119034881407323,1,vegetarian spicy miso
11,01-01-2017,5185620052605569,1,shio ramen
12,01-01-2017,5185620052605569,1,shio ramen
13,01-01-2017,1625774198697856,1,tori paitan ramen
14,01-01-2017,1625774198697856,1,tori paitan ramen
15,01-01-2017,505248472056578,1,vegetarian spicy miso
16,01-01-2017,505248472056578,1,vegetarian spicy miso
17,01-01-2017,5010864392617689,1,spicy miso ramen
18,01-01-2017,5010864392617689,1,spicy miso ramen
19,01-01-2017,1792739336416381,2,truffle butter ramen
20,01-01-2017,1792739336416381,2,truffle butter ramen
21,01-01-2017,761559936834947,2,tonkotsu ramen
22,01-01-2017,761559936834947,2,tonkotsu ramen
23,01-01-2017,9019899875381263,1,truffle butter ramen
24,01-01-2017,9019899875381263,1,truffle butter ramen
25,01-01-2017,8390952377142813,2,tori paitan ramen
26,01-01-2017,8390952377142813,2,tori paitan ramen
27,01-01-2017,8413275554809498,1,spicy miso ramen
28,01-01-2017,8413275554809498,1,spicy miso ramen
29,01-01-2017,9297729736590973,1,vegetarian spicy miso
30,01-01-2017,9297729736590973,1,vegetarian spicy miso
31,01-01-2017,4842259280240047,1,vegetarian spicy miso
32,01-01-2017,4842259280240047,1,vegetarian spicy miso
33,01-01-2017,6233521625518921,4,tonkotsu ramen
34,01-01-2017,6233521625518921,4,tonkotsu ramen
35,01-01-2017,2641214109762946,4,miso crab ramen
36,01-01-2017,2641214109762946,4,miso crab ramen
37,01-01-2017,9499629855503509,1,miso crab ramen
38,01-01-2017,9499629855503509,1,miso crab ramen
39,01-01-2017,5567347994803336,1,nagomi shoyu
40,01-01-2017,5567347994803336,1,nagomi shoyu
41,01-01-2017,2210478832955280,1,truffle butter ramen
42,01-01-2017,2210478832955280,1,truffle butter ramen
43,01-01-2017,6129806465248355,1,tori paitan ramen
44,01-01-2017,6129806465248355,1,tori paitan ramen
45,01-01-2017,4567545741772660,1,truffle butter ramen
46,01-01-2017,4567545741772660,1,truffle butter ramen
47,01-01-2017,8666977854387557,1,vegetarian spicy miso
48,01-01-2017,8666977854387557,1,vegetarian spicy miso
49,01-01-2017,9447156482236957,1,soft-shell miso crab ramen
50,01-01-2017,9447156482236957,1,soft-shell miso crab ramen
51,01-01-2017,9720247648273415,3,nagomi shoyu
52,01-01-2017,9720247648273415,3,nagomi shoyu
53,01-01-2017,5076973123462632,1,tori paitan ramen
54,01-01-2017,5076973123462632,1,tori paitan ramen
55,01-01-2017,6759299745892858,1,shio ramen
56,01-01-2017,6759299745892858,1,shio ramen
57,01-01-2017,2925610854460099,2,nagomi shoyu
58,01-01-2017,2925610854460099,2,nagomi shoyu
59,01-01-2017,25488869766864,1,soft-shell miso crab ramen
60,01-01-2017,25488869766864,1,soft-shell miso crab ramen
61,01-01-2017,6827699400894567,1,tonkotsu ramen
62,01-01-2017,6827699400894567,1,tonkotsu ramen
63,01-01-2017,6092274863700361,1,truffle butter ramen
64,01-01-2017,6092274863700361,1,truffle butter ramen
65,01-01-2017,6868343243350759,1,spicy miso ramen
66,01-01-2017,6868343243350759,1,spicy miso ramen
67,01-01-2017,6644706782247054,1,burnt garlic tonkotsu ramen
68,01-01-2017,6644706782247054,1,burnt garlic tonkotsu ramen
69,01-01-2017,203567346724240,2,soft-shell miso crab ramen
70,01-01-2017,203567346724240,2,soft-shell miso crab ramen
71,01-01-2017,164673264403463,4,spicy miso ramen
72,01-01-2017,164673264403463,4,spicy miso ramen
73,01-01-2017,2318086938464664,1,vegetarian spicy miso
74,01-01-2017,2318086938464664,1,vegetarian spicy miso
75,01-01-2017,6284589008018918,3,burnt garlic tonkotsu ramen
76,01-01-2017,6284589008018918,3,burnt garlic tonkotsu ramen
77,01-01-2017,5372899258540714,4,miso crab ramen
78,01-01-2017,5372899258540714,4,miso crab ramen
79,01-01-2017,7434126499333794,3,truffle butter ramen
80,01-01-2017,7434126499333794,3,truffle butter ramen
81,01-01-2017,7918389407135661,3,vegetarian spicy miso
82,01-01-2017,7918389407135661,3,vegetarian spicy miso
83,01-01-2017,9229240748122143,1,tori paitan ramen
84,01-01-2017,9229240748122143,1,tori paitan ramen
85,01-01-2017,5357240623566379,1,tonkotsu ramen
86,01-01-2017,5357240623566379,1,tonkotsu ramen
87,01-01-2017,353471709272555,1,vegetarian spicy miso
88,01-01-2017,353471709272555,1,vegetarian spicy miso
89,01-01-2017,3163915761505662,1,tonkotsu ramen
90,01-01-2017,3163915761505662,1,tonkotsu ramen
91,01-01-2017,3451368930610153,1,truffle butter ramen
92,01-01-2017,3451368930610153,1,truffle butter ramen
93,01-01-2017,3242151881645125,1,vegetarian curry + king trumpet mushroom ramen
94,01-01-2017,3242151881645125,1,vegetarian curry + king trumpet mushroom ramen
95,01-01-2017,2770481058384067,1,vegetarian spicy miso
96,01-01-2017,2770481058384067,1,vegetarian spicy miso
97,01-01-2017,1504200333701650,3,truffle butter ramen
98,01-01-2017,1504200333701650,3,truffle butter ramen
99,01-01-2017,9996129182295125,1,nagomi shoyu
100,01-01-2017,9996129182295125,1,nagomi shoyu
